Timestamp,Current,Voltage,Power,kWh per 1 Minute,Cost per 1 Minute (BDT)
11/10/2023 23:58,213,241.4,25.3,0.000421667,0.0037191
11/10/2023 23:48,156,238.7,19.1,0.000318333,0.0028077
11/10/2023 23:43,123,236.9,15.2,0.000253333,0.0022344
11/10/2023 23:39,137,238.7,16.9,0.000281667,0.0024843
11/10/2023 23:38,290,238.2,36.1,0.000601667,0.0053067
11/10/2023 23:36,208,239.1,21.1,0.000351667,0.0031017
11/10/2023 23:35,219,240.5,31.6,0.000526667,0.0046452
11/10/2023 23:34,134,238.2,15.4,0.000256667,0.0022638
11/10/2023 23:33,202,240.5,29.5,0.000491667,0.0043365
11/10/2023 23:32,130,239.1,16.4,0.000273333,0.0024108
11/10/2023 23:31,212,240,29,0.000483333,0.004263
11/10/2023 23:30,189,239.6,23.1,0.000385,0.0033957
11/10/2023 23:29,156,240.5,24.4,0.000406667,0.0035868
11/10/2023 23:28,338,239.6,50.5,0.000841667,0.0074235
11/10/2023 23:27,345,239.6,46.5,0.000775,0.0068355
11/10/2023 23:20,119,240.9,12.9,0.000215,0.0018963
11/10/2023 23:19,126,238.7,13.7,0.000228333,0.0020139
11/10/2023 23:17,135,239.1,14.6,0.000243333,0.0021462
11/10/2023 23:16,235,240,28.8,0.00048,0.0042336
11/10/2023 23:15,188,239.6,23.2,0.000386667,0.0034104
11/10/2023 23:12,234,238.2,34.8,0.00058,0.0051156
11/10/2023 23:11,218,237.8,28.2,0.00047,0.0041454
11/10/2023 23:10,154,238.2,19.5,0.000325,0.0028665
11/10/2023 23:09,275,238.7,48.3,0.000805,0.0071001
11/10/2023 23:08,165,238.2,21.7,0.000361667,0.0031899
11/10/2023 23:07,196,239.1,27.8,0.000463333,0.0040866
11/10/2023 23:06,203,238.7,20.7,0.000345,0.0030429
11/10/2023 23:05,141,238.2,19.1,0.000318333,0.0028077
11/10/2023 23:04,230,238.7,29.3,0.000488333,0.0043071
11/10/2023 23:02,195,239.1,23.3,0.000388333,0.0034251
11/10/2023 23:01,139,237.4,16.6,0.000276667,0.0024402
11/10/2023 22:59,206,237.8,37.6,0.000626667,0.0055272
11/10/2023 22:58,199,238.2,26.1,0.000435,0.0038367
11/10/2023 22:57,208,237.8,25,0.000416667,0.003675
11/10/2023 22:56,355,239.1,50,0.000833333,0.00735
11/10/2023 22:53,198,237.8,23,0.000383333,0.003381
11/10/2023 22:52,133,238.2,14.2,0.000236667,0.0020874
11/10/2023 22:51,310,239.1,41.5,0.000691667,0.0061005
11/10/2023 22:50,189,237.4,21.1,0.000351667,0.0031017
11/10/2023 22:49,237,238.2,32.8,0.000546667,0.0048216
11/10/2023 22:48,198,237.8,30,0.0005,0.00441
11/10/2023 22:47,285,236.9,39.4,0.000656667,0.0057918
11/10/2023 22:44,158,238.2,20.8,0.000346667,0.0030576
11/10/2023 22:43,220,237.8,27.2,0.000453333,0.0039984
11/10/2023 22:42,152,238.2,19.1,0.000318333,0.0028077
11/10/2023 22:41,163,236.9,18.9,0.000315,0.0027783
11/10/2023 22:39,150,237.4,18,0.0003,0.002646
11/10/2023 22:38,205,235.6,25.7,0.000428333,0.0037779
11/10/2023 22:37,154,236.5,18.6,0.00031,0.0027342
11/10/2023 22:34,237,236.9,39.4,0.000656667,0.0057918
11/10/2023 22:32,163,237.8,18.8,0.000313333,0.0027636
11/10/2023 22:31,169,238.2,27.8,0.000463333,0.0040866
11/10/2023 22:30,152,237.8,24.5,0.000408333,0.0036015
11/10/2023 22:28,200,238.2,26.5,0.000441667,0.0038955
11/10/2023 22:27,232,238.7,28.2,0.00047,0.0041454
11/10/2023 22:26,158,236.5,22.9,0.000381667,0.0033663
11/10/2023 22:25,246,236.9,34.5,0.000575,0.0050715
11/10/2023 22:23,151,238.2,19.2,0.00032,0.0028224
11/10/2023 22:21,226,236.9,28.2,0.00047,0.0041454
11/10/2023 22:20,153,237.4,19.2,0.00032,0.0028224
11/10/2023 22:19,229,237.8,25.5,0.000425,0.0037485
11/10/2023 22:18,233,236.9,34.8,0.00058,0.0051156
11/10/2023 22:17,176,238.2,20.8,0.000346667,0.0030576
11/10/2023 22:15,207,238.7,26.7,0.000445,0.0039249
11/10/2023 22:14,309,236.5,47.4,0.00079,0.0069678
11/10/2023 22:12,260,236.9,32.6,0.000543333,0.0047922
11/10/2023 22:11,276,238.7,35.5,0.000591667,0.0052185
11/10/2023 22:07,246,239.6,33.9,0.000565,0.0049833
11/10/2023 22:06,262,239.1,36.4,0.000606667,0.0053508
11/10/2023 22:03,269,240,41.6,0.000693333,0.0061152
11/10/2023 22:01,292,239.6,41.2,0.000686667,0.0060564
11/10/2023 22:00,217,239.6,41.4,0.00069,0.0060858
11/10/2023 21:59,323,237.8,43.8,0.00073,0.0064386
11/10/2023 21:58,285,236.9,38.7,0.000645,0.0056889
11/10/2023 21:57,211,235.2,30.4,0.000506667,0.0044688
11/10/2023 21:56,212,237.4,40.2,0.00067,0.0059094
11/10/2023 21:55,370,236.9,54,0.0009,0.007938
11/10/2023 21:52,199,237.8,38.6,0.000643333,0.0056742
11/10/2023 21:50,292,238.2,29.6,0.000493333,0.0043512
11/10/2023 21:48,356,236.9,38.6,0.000643333,0.0056742
11/10/2023 21:46,256,236.5,34.2,0.00057,0.0050274
11/10/2023 21:45,365,237.4,53,0.000883333,0.007791
11/10/2023 21:44,250,233.9,32.5,0.000541667,0.0047775
11/10/2023 21:42,236,237.4,34.3,0.000571667,0.0050421
11/10/2023 21:41,249,237.8,36.1,0.000601667,0.0053067
11/10/2023 21:39,269,233.9,30.7,0.000511667,0.0045129
11/10/2023 21:35,365,235.6,54.6,0.00091,0.0080262
11/10/2023 21:33,233,234.4,36,0.0006,0.005292
11/10/2023 21:31,212,233.1,28.3,0.000471667,0.0041601
11/10/2023 21:30,257,233.9,36.4,0.000606667,0.0053508
11/10/2023 21:28,291,232.7,42.1,0.000701667,0.0061887
11/10/2023 21:27,359,234.4,53.2,0.000886667,0.0078204
11/10/2023 21:26,306,231.8,43.6,0.000726667,0.0064092
11/10/2023 21:24,339,230.6,48.2,0.000803333,0.0070854
11/10/2023 21:23,243,233.5,35.7,0.000595,0.0052479
11/10/2023 21:22,260,233.5,34.4,0.000573333,0.0050568
11/10/2023 21:21,198,234.8,24.3,0.000405,0.0035721
11/10/2023 21:20,273,235.6,36.3,0.000605,0.0053361
11/10/2023 21:19,260,235.2,37.2,0.00062,0.0054684
11/10/2023 21:14,214,234.8,35,0.000583333,0.005145
11/10/2023 21:13,366,235.2,44.6,0.000743333,0.0065562
11/10/2023 21:06,171,236.1,22.2,0.00037,0.0032634
11/10/2023 21:03,216,235.6,20.7,0.000345,0.0030429
11/10/2023 21:02,238,237.4,29.9,0.000498333,0.0043953
